full_url,player,firepower,rating_2,kpr,damage_per_round,dpr_win,rounds_with_kill,pistol_round_rating,rounds_with_multi_kill,entrying,saved_by_teammate_pr,traded_deaths_pr,traded_death_percentage,opening_death_traded_percentage,asists_pr,support_rounds,opening,opening_kills_pr,opening_deaths_pr,opening_attempts,opening_sucess,win_percent_after_open_kill,attacks_per_round,sniping,sniping_kpr,sniping_k_percentage,rounds_w_sniping_k_percentage,sniping_multi_kill_rounds,sniping_opening_kpr,trading,clutching,utility
https://www.hltv.org/stats/players/22211/ottob,ottob,19/100,0.92,0.59,66.8,89.1,42.3%,0.89,12.7%,45/100,0.10,0.14,22.9%,22.9%,0.13,17.5%,47/100,0.09,0.12,21.6%,43.5%,74.6%,2.40,22/100,0.08,13.5%,7.4%,0.03,0.02,15/100,41/100,58/100
https://www.hltv.org/stats/players/11283/ottond,ottoNd,72/100,1.12,0.73,74.3,98.3,48.9%,1.09,18.1%,28/100,0.09,0.12,22.0%,22.0%,0.10,16.6%,70/100,0.12,0.08,20.1%,59.5%,74.4%,2.04,93/100,0.40,54.6%,30.3%,0.11,0.09,51/100,52/100,48/100
https://www.hltv.org/stats/players/24527/outback,Outback,99/100,1.22,0.87,98.8,126.8,53.2%,,21.9%,14/100,0.09,0.11,17.4%,17.4%,0.25,12.4%,53/100,0.10,0.11,21.4%,46.5%,75.0%,3.44,0/100,0.00,0.6%,0.5%,0.0,0.0,61/100,37/100,31/100
https://www.hltv.org/stats/players/21469/outex,outex,21/100,0.93,0.59,66.8,83.7,41.8%,0.85,13.5%,37/100,0.10,0.13,24.2%,24.2%,0.14,21.5%,15/100,0.07,0.08,15.2%,45.3%,64.6%,2.42,1/100,0.01,1.4%,0.8%,0.002,0.0,30/100,52/100,41/100
https://www.hltv.org/stats/players/24301/overdue,Overdue,46/100,1.06,0.67,74.8,102.4,48.1%,,13.8%,13/100,0.08,0.11,19.2%,19.2%,0.22,20.0%,86/100,0.14,0.12,26.7%,53.6%,70.0%,2.86,4/100,0.05,7.1%,1.0%,0.0,0.005,21/100,8/100,65/100
https://www.hltv.org/stats/players/23913/owen,Owen,35/100,0.78,0.62,61.3,69.7,42.3%,,16.9%,80/100,0.13,0.18,22.2%,22.2%,0.11,15.5%,13/100,0.06,0.13,18.3%,30.8%,50.0%,1.90,10/100,0.06,9.1%,4.2%,0.01,0.01,21/100,69/100,13/100
https://www.hltv.org/stats/players/19083/owensinhom,OwensinhoM,24/100,0.90,0.60,66.6,89.4,43.1%,0.95,13.8%,29/100,0.10,0.12,19.5%,19.5%,0.12,15.9%,42/100,0.09,0.10,19.4%,48.5%,68.9%,2.11,54/100,0.19,30.6%,15.0%,0.04,0.05,40/100,34/100,62/100
https://www.hltv.org/stats/players/20422/owner,OWNER,65/100,1.05,0.69,75.2,98.8,46.9%,0.97,17.1%,45/100,0.10,0.14,23.0%,23.0%,0.13,17.8%,56/100,0.10,0.10,20.8%,50.4%,71.0%,2.74,1/100,0.01,1.8%,1.0%,0.002,0.001,54/100,43/100,37/100
https://www.hltv.org/stats/players/21795/oxycet,oxycet,63/100,0.99,0.69,73.8,97.7,47.2%,1.04,17.3%,30/100,0.10,0.12,18.3%,18.3%,0.15,17.0%,16/100,0.06,0.06,12.3%,48.7%,73.7%,2.56,0/100,0.00,0.0%,-,0.0,0.0,91/100,56/100,32/100
https://www.hltv.org/stats/players/18697/oxygen,oxygeN,37/100,1.02,0.64,69.6,90.5,44.1%,1.17,14.8%,58/100,0.10,0.15,29.7%,29.7%,0.12,19.3%,50/100,0.10,0.11,21.3%,46.1%,73.3%,2.41,0/100,0.01,1.1%,0.5%,0.001,0.0003,21/100,46/100,37/100
