a,b,euclid_z,euclid_z_norm,mahalanobis,cv_auc
maggent,s1mple,5.3709308937674525,0.5168180662192526,4.690104053546355,0.833910034602076
OWNER,magixx,5.377853913636418,0.5174842341167447,4.324879138929922,0.9209558823529411
Mzinho,donk,5.3975884839520685,0.5193831940307585,4.644506723966034,0.7316176470588235
kr1vda,maggent,5.416529136701955,0.5212057591913875,4.527970737651297,0.8927335640138409
Mzinho,s1mple,5.4350167819138715,0.5229847336813512,4.898733051721195,0.930795847750865
Senzu,s1mple,5.481360069809349,0.5274441186382822,4.6387953769174475,0.8391003460207612
Mzinho,zont1x,5.486414004335097,0.5279304337147668,4.850401198853829,0.8713235294117646
kr1vda,s1mple,5.5084221114300975,0.5300481648073756,4.521300729676313,0.8529411764705882
flameZ,tN1R,5.519432823971974,0.5311076711157126,4.445437743127893,0.98046875
flameZ,zont1x,5.534461666396168,0.5325538221522487,4.802522500060377,0.9765625
Magisk,kr1vda,5.542607822051436,0.5333376863456537,4.409883136356423,0.8546712802768165
Mzinho,Senzu,5.566003022450676,0.5355888905536947,4.308876634026457,0.8581314878892734
Tr0ublE,electronic,5.567326758769521,0.535716267140365,4.45623659158313,0.8788927335640138
fakerealityy,zont1x,5.569402117763591,0.5359159686526802,4.27224642168035,0.8308823529411764
apEX,maggent,5.5783926827228285,0.5367810861692439,4.7463475606621195,0.8897058823529411
OWNER,s1mple,5.588289577295731,0.537733415293545,4.5366648680095185,0.9429065743944637
Mzinho,apEX,5.588424608104893,0.5377464086392149,4.513755532519498,0.9816176470588236
donk,zont1x,5.606586778659911,0.539494064315716,4.7523255300973934,0.93359375
fakerealityy,tN1R,5.635438799638615,0.5422703513288359,3.9046738012857216,0.7426470588235294
Mzinho,ZywOo,5.650811206723239,0.543749561890236,4.4418927498664615,0.7794117647058824
mezii,s1mple,5.665746081749523,0.5451866709096924,4.709796631888759,0.9356617647058822
Senzu,donk,5.67281152953723,0.5458665439400554,4.789745773334618,0.8841911764705883
Magisk,Senzu,5.674292444877061,0.5460090450850718,4.025109508713228,0.8373702422145328
magixx,s1mple,5.683442320921191,0.5468894923179268,5.070163752570137,0.9080882352941178
electronic,tN1R,5.703872301212901,0.5488553680880864,4.340158460527841,0.8014705882352942
electronic,mezii,5.718919050834277,0.5503032422454748,4.231308439549657,0.9595588235294118
electronic,magixx,5.7356016912145,0.5519085300645273,4.74759979515949,0.8547794117647058
Mzinho,magixx,5.749002005994448,0.5531979759554322,4.83430870975891,0.7775735294117647
s1mple,tN1R,5.7834986877744,0.5565174207073995,4.521303943626625,0.8970588235294117
apEX,s1mple,5.786884315873713,0.5568432029231519,4.54008455955165,0.9522058823529411
donk,electronic,5.804671882126888,0.5585548122839017,4.234380636397567,0.8382352941176471
kr1vda,zont1x,5.852035154430736,0.5631123452862897,4.689425437979048,0.9816176470588235
ZywOo,apEX,5.872033478601986,0.5650366849268919,4.846846082034411,0.9375
apEX,kr1vda,5.916833686560214,0.5693475869476309,4.947847755985186,0.9926470588235294
fakerealityy,magixx,5.949608308707351,0.5725013264341705,4.198179222845567,0.8106617647058822
magixx,tN1R,5.966508710871515,0.5741275683906526,4.397361148949848,0.8984375
ZywOo,s1mple,5.979217370969465,0.5753504597787512,4.667362832255826,0.9044117647058824
kr1vda,magixx,6.022404771321116,0.5795061693151888,4.740170339955918,0.9393382352941176
magixx,zont1x,6.051454947777069,0.5823015238479973,4.683875422086987,0.98046875
electronic,flameZ,6.052607786266144,0.5824124557833305,4.457346590682386,0.9338235294117646
Magisk,Tr0ublE,6.068063638579161,0.5838996958655763,4.53395721196494,0.833910034602076
apEX,magixx,6.091986808760931,0.5862017039896287,4.71671741038065,0.939453125
kr1vda,tN1R,6.095352897348002,0.5865256060149391,4.2717088926522315,0.8676470588235294
donk,s1mple,6.120558898008854,0.5889510545593951,4.858606848468009,0.9522058823529411
flameZ,ropz,6.120918962305793,0.5889857017625224,4.971625912856364,1.0
maggent,tN1R,6.127605412736147,0.5896291057551704,4.618040322521041,0.9448529411764706
Mzinho,maggent,6.180772810391445,0.5947451409799034,4.821776806686446,0.9273356401384083
electronic,sh1ro,6.195801988018006,0.5961913242713024,4.73889824643777,0.792156862745098
ZywOo,tN1R,6.199417968814499,0.5965392721856757,4.379614187805279,0.86328125
OWNER,tN1R,6.222659114953738,0.5987756525156365,4.1338836458002275,0.84375
Magisk,zont1x,6.2238958036078005,0.5988946529368576,4.676418779619792,0.9632352941176471
apEX,electronic,6.2552811609131425,0.6019147103516662,4.7081462572377415,1.0
Mzinho,kr1vda,6.263615213916507,0.6027166549758218,4.616660028550649,0.9342560553633218
mezii,sh1ro,6.281220462555045,0.6044107208159235,4.555064149102261,0.8791666666666668
Tr0ublE,apEX,6.285751890156027,0.6048467576401302,4.914942145648816,0.9852941176470589
mezii,ropz,6.287017211025077,0.6049685131975231,5.030448153951987,1.0
flameZ,s1mple,6.2884347810225725,0.6051049189341312,4.820036947781834,0.988970588235294
sh1ro,zont1x,6.29749434334415,0.6059766757249817,4.885434616612975,0.9041666666666667
apEX,mezii,6.300247649146391,0.6062416126993292,4.893385773566177,1.0
apEX,zont1x,6.317665393291692,0.6079176359111569,4.8996790448361685,1.0
Tr0ublE,magixx,6.327677006943286,0.6088810038839519,4.729368693098721,0.9393382352941176
maggent,zont1x,6.333174521598003,0.6094100024782477,4.884600934255895,0.9227941176470589
ZywOo,mezii,6.346311144707765,0.6106740746263584,4.729506074727541,0.984375
OWNER,ZywOo,6.3480804075049,0.6108443220183906,4.1327878768034365,0.7867647058823529
magixx,mezii,6.4101268683251975,0.6168147454945343,4.706890344494625,0.90234375
Magisk,apEX,6.412407856068397,0.6170342336424599,4.471948474489902,0.8492647058823528
kr1vda,mezii,6.4186494634290305,0.6176348325907662,4.4328042968067525,0.8713235294117647
Senzu,sh1ro,6.4295098408043625,0.6186798728909577,4.6098731341858095,0.7490196078431374
fakerealityy,mezii,6.454476030934839,0.6210822456563694,4.250149940025297,0.9044117647058824
Tr0ublE,maggent,6.4599435009605655,0.6216083532048926,4.709946785062872,0.9377162629757785
